stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\SAM-Tech\source\repos\Project4 - Copy\Debug\allegro5.cfg r
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.97055] removed dtor for bitmap 091ABAC8
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  45.97126] converting display bitmap 091A9260 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  45.97179] added dtor for bitmap 091AB920, func 796B17D5
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  45.97186] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  45.97194] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.97315] removed dtor for bitmap 091AB920
d3d      D         d3d_disp.cpp:894  d3d_destroy_display_internals    [  45.97382] waiting for display 00A4BD60's thread to end
d3d      W         d3d_disp.cpp:603  d3d_destroy_device               [  45.97865] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:603  d3d_destroy_device               [  45.97881] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1557 d3d_display_thread_proc          [  45.98667] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.98716] removed dtor for timer 009C5F28
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.98727] removed dtor for queue 009F5DC8
dtor     D               dtor.c:116  _al_run_destructors              [  45.98736] calling dtor for bitmap 091AC168, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.98746] removed dtor for bitmap 091AC168
dtor     D               dtor.c:116  _al_run_destructors              [  45.98755] calling dtor for bitmap 091AAC90, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.98763] removed dtor for bitmap 091AAC90
dtor     D               dtor.c:116  _al_run_destructors              [  45.98770] calling dtor for bitmap 091B15B0, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.98778] removed dtor for bitmap 091B15B0
dtor     D               dtor.c:116  _al_run_destructors              [  45.98829] calling dtor for bitmap 091B1408, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.98840] removed dtor for bitmap 091B1408
dtor     D               dtor.c:116  _al_run_destructors              [  45.98923] calling dtor for bitmap 091B0928, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.98932] removed dtor for bitmap 091B0928
dtor     D               dtor.c:116  _al_run_destructors              [  45.98994] calling dtor for bitmap 091B0780, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99005] removed dtor for bitmap 091B0780
dtor     D               dtor.c:116  _al_run_destructors              [  45.99071] calling dtor for bitmap 091BA420, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99082] removed dtor for bitmap 091BA420
dtor     D               dtor.c:116  _al_run_destructors              [  45.99135] calling dtor for bitmap 091BA278, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99147] removed dtor for bitmap 091BA278
dtor     D               dtor.c:116  _al_run_destructors              [  45.99212] calling dtor for bitmap 091BA0D0, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99221] removed dtor for bitmap 091BA0D0
dtor     D               dtor.c:116  _al_run_destructors              [  45.99269] calling dtor for bitmap 091AE028, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99278] removed dtor for bitmap 091AE028
dtor     D               dtor.c:116  _al_run_destructors              [  45.99318] calling dtor for bitmap 091B9F28, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99327] removed dtor for bitmap 091B9F28
dtor     D               dtor.c:116  _al_run_destructors              [  45.99374] calling dtor for bitmap 091B9D80, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99382] removed dtor for bitmap 091B9D80
dtor     D               dtor.c:116  _al_run_destructors              [  45.99418] calling dtor for bitmap 091BA630, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99425] removed dtor for bitmap 091BA630
dtor     D               dtor.c:116  _al_run_destructors              [  45.99467] calling dtor for bitmap 091B9BD8, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99477] removed dtor for bitmap 091B9BD8
dtor     D               dtor.c:116  _al_run_destructors              [  45.99513] calling dtor for bitmap 091B97E0, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99520] removed dtor for bitmap 091B97E0
dtor     D               dtor.c:116  _al_run_destructors              [  45.99559] calling dtor for bitmap 091A9260, func 796B17D5
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99568] removed dtor for bitmap 091A9260
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99610] removed dtor for sample_instance 009E56F0
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99617] removed dtor for sample_instance 009F1AE8
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99624] removed dtor for sample_instance 009F5B68
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99631] removed dtor for sample_instance 009F3D00
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99636] removed dtor for sample_instance 009F5F48
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99643] removed dtor for sample_instance 009F9D48
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99650] removed dtor for sample_instance 009FA3D8
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99656] removed dtor for sample_instance 009F9A00
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99662] removed dtor for sample_instance 009F97D0
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99670] removed dtor for sample_instance 009F9C30
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99677] removed dtor for sample_instance 009F96B8
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99683] removed dtor for sample_instance 009F98E8
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99689] removed dtor for sample_instance 009F9E60
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99695] removed dtor for sample_instance 009F9F78
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99701] removed dtor for sample_instance 009F9B18
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99708] removed dtor for sample_instance 009F95A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  45.99713] removed dtor for mixer 009CEDB0
audio-dsound D           dsound.cpp:539  _dsound_stop_voice               [  45.99719] Stopping voice
audio-dsound D           dsound.cpp:556  _dsound_stop_voice               [  45.99725] Joining thread
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [  46.00053] Joined thread
audio-dsound D           dsound.cpp:564  _dsound_stop_voice               [  46.00061] Destroying thread
audio-dsound D           dsound.cpp:566  _dsound_stop_voice               [  46.00068] Thread destroyed
audio-dsound D           dsound.cpp:573  _dsound_stop_voice               [  46.00075] Releasing buffer
audio-dsound I           dsound.cpp:577  _dsound_stop_voice               [  46.00081] Voice stopped
dtor     D               dtor.c:227  _al_unregister_destructor        [  46.00089] removed dtor for voice 009C98D0
audio-dsound D           dsound.cpp:391  _dsound_deallocate_voice         [  46.00095] Deallocating voice
audio-dsound D           dsound.cpp:396  _dsound_deallocate_voice         [  46.00101] Deallocated voice
dtor     D               dtor.c:116  _al_run_destructors              [  46.00107] calling dtor for sample 035B3A10, func 77AB10A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  46.00115] removed dtor for sample 035B3A10
dtor     D               dtor.c:116  _al_run_destructors              [  46.00128] calling dtor for sample 035B3E90, func 77AB10A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  46.00135] removed dtor for sample 035B3E90
dtor     D               dtor.c:116  _al_run_destructors              [  46.00146] calling dtor for sample 035B3C50, func 77AB10A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  46.00153] removed dtor for sample 035B3C50
dtor     D               dtor.c:116  _al_run_destructors              [  46.00163] calling dtor for sample 035B3C98, func 77AB10A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  46.00170] removed dtor for sample 035B3C98
dtor     D               dtor.c:116  _al_run_destructors              [  46.00177] calling dtor for sample 035B3980, func 77AB10A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  46.00183] removed dtor for sample 035B3980
dtor     D               dtor.c:116  _al_run_destructors              [  46.00189] calling dtor for sample 035B3F20, func 77AB10A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  46.00195] removed dtor for sample 035B3F20
dtor     D               dtor.c:116  _al_run_destructors              [  46.00204] calling dtor for sample 035B3C08, func 77AB10A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  46.00210] removed dtor for sample 035B3C08
dtor     D               dtor.c:116  _al_run_destructors              [  46.00218] calling dtor for sample 035B3788, func 77AB10A0
dtor     D               dtor.c:227  _al_unregister_destructor        [  46.00224] removed dtor for sample 035B3788
audio-dsound D           dsound.cpp:304  _dsound_close                    [  46.00231] Releasing device
audio-dsound D           dsound.cpp:309  _dsound_close                    [  46.03419] Released device
audio-dsound I           dsound.cpp:310  _dsound_close                    [  46.03430] DirectSound closed
